Year,Season_type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
2021-22,Playoffs,202083,100,Wesley Matthews,1610612749,MIL,12,28.8,2.1,5.3,0.391,1.5,3.8,0.4,0.5,0.8,0.667,0.8,2.3,3.1,1.2,0.8,0.3,0.5,6.2,7.4
2021-22,Playoffs,203937,102,Kyle Anderson,1610612763,MEM,12,18.4,2.4,4.3,0.569,0.3,1.0,0.25,0.9,1.5,0.611,0.8,3.5,4.3,1.8,0.9,0.6,0.8,6.0,10.3
2021-22,Playoffs,1627752,102,Taurean Prince,1610612750,MIN,5,13.0,2.0,5.4,0.37,0.8,2.8,0.286,1.2,1.4,0.857,0.2,1.4,1.6,1.2,0.4,0.2,0.8,6.0,5.0
2021-22,Playoffs,1629637,104,Jaxson Hayes,1610612740,NOP,6,13.8,2.3,4.2,0.56,0.0,0.5,0.0,1.2,1.8,0.636,0.7,1.8,2.5,0.2,0.0,0.3,0.7,5.8,5.7
2021-22,Playoffs,1626172,105,Kevon Looney,1610612744,GSW,22,20.4,2.6,4.0,0.659,0.0,0.0,0.0,0.5,0.8,0.611,2.9,4.8,7.6,2.2,0.4,0.5,0.9,5.8,13.9
2021-22,Playoffs,1629130,106,Duncan Robinson,1610612748,MIA,13,12.2,1.9,4.4,0.439,1.4,3.6,0.383,0.4,0.5,0.833,0.2,1.6,1.8,0.4,0.3,0.1,0.2,5.6,5.4
2021-22,Playoffs,1629001,107,De'Anthony Melton,1610612763,MEM,10,17.0,2.1,6.5,0.323,1.1,4.4,0.25,0.3,0.4,0.75,0.9,2.2,3.1,1.6,1.0,0.5,1.4,5.6,5.9
2021-22,Playoffs,1629020,108,Jarred Vanderbilt,1610612750,MIN,6,21.5,2.2,4.5,0.481,0.0,0.0,0.0,1.2,1.7,0.7,2.0,5.2,7.2,0.7,1.2,0.3,0.8,5.5,11.2
2021-22,Playoffs,203490,109,Otto Porter Jr.,1610612744,GSW,19,19.5,2.0,4.1,0.494,1.0,2.5,0.404,0.4,0.5,0.778,0.6,2.8,3.4,1.8,0.9,0.3,0.6,5.4,9.0
2021-22,Playoffs,1630168,110,Onyeka Okongwu,1610612737,ATL,5,21.6,1.8,3.2,0.563,0.0,0.0,0.0,1.6,2.0,0.8,2.2,3.2,5.4,0.4,0.8,0.8,0.8,5.2,10.0
2021-22,Playoffs,1630228,111,Jonathan Kuminga,1610612744,GSW,16,8.6,1.9,3.8,0.5,0.2,0.8,0.231,1.3,1.6,0.769,0.3,1.4,1.7,0.5,0.2,0.1,0.7,5.2,4.8
2021-22,Playoffs,1630530,112,Trey Murphy III,1610612740,NOP,6,20.0,1.5,3.7,0.409,1.5,3.2,0.474,0.7,0.8,0.8,0.5,2.0,2.5,0.5,0.5,0.2,0.2,5.2,6.3
2021-22,Playoffs,1629003,113,Shake Milton,1610612755,PHI,12,13.2,1.5,3.2,0.474,0.7,1.3,0.533,1.3,1.7,0.8,0.3,1.3,1.6,0.9,0.5,0.3,0.4,5.0,5.8
2021-22,Playoffs,1627777,114,Georges Niang,1610612755,PHI,12,16.5,1.7,4.0,0.417,1.3,3.6,0.372,0.2,0.2,1.0,0.3,1.2,1.5,0.9,0.3,0.0,0.6,4.8,4.6
2021-22,Playoffs,1629675,115,Naz Reid,1610612750,MIN,5,10.8,1.4,3.4,0.412,0.6,1.4,0.429,1.4,1.4,1.0,0.4,2.4,2.8,0.0,0.2,1.2,1.0,4.8,6.0
2021-22,Playoffs,1630202,116,Payton Pritchard,1610612738,BOS,24,12.9,1.8,4.3,0.422,1.0,3.0,0.333,0.2,0.3,0.667,0.4,1.5,1.9,1.6,0.3,0.1,0.4,4.8,5.7
2021-22,Playoffs,1628997,117,Caleb Martin,1610612748,MIA,17,12.3,1.9,4.7,0.4,0.6,1.9,0.303,0.1,0.4,0.333,0.7,1.5,2.2,0.3,0.6,0.1,0.6,4.5,4.0
2021-22,Playoffs,1630214,118,Xavier Tillman,1610612763,MEM,9,15.4,2.0,2.8,0.72,0.1,0.2,0.5,0.3,0.7,0.5,1.4,1.9,3.3,0.7,0.7,0.1,1.1,4.4,7.0
2021-22,Playoffs,1627863,119,Danuel House Jr.,1610612762,UTA,6,18.7,1.5,3.7,0.409,0.3,1.7,0.2,1.0,1.3,0.75,0.3,2.5,2.8,0.7,0.0,0.2,1.0,4.3,4.5
2021-22,Playoffs,1629013,119,Landry Shamet,1610612756,PHX,12,16.0,1.6,4.0,0.396,0.8,2.2,0.346,0.4,0.6,0.714,0.3,1.4,1.7,1.3,0.5,0.0,0.6,4.3,4.6
2021-22,Playoffs,203085,121,Austin Rivers,1610612743,DEN,5,21.6,1.6,3.6,0.444,0.8,2.4,0.333,0.2,0.2,1.0,0.0,0.6,0.6,1.2,1.4,0.2,0.8,4.2,4.8
2021-22,Playoffs,1626166,122,Cameron Payne,1610612756,PHX,13,13.2,1.7,5.7,0.297,0.4,2.3,0.167,0.4,0.5,0.833,0.2,1.4,1.5,2.1,0.5,0.1,1.0,4.2,3.3
2021-22,Playoffs,202722,123,Davis Bertans,1610612742,DAL,18,10.7,1.2,3.1,0.4,1.1,2.8,0.373,0.6,0.7,0.833,0.2,1.2,1.4,0.3,0.4,0.1,0.2,4.1,4.3
2021-22,Playoffs,1630245,124,Ayo Dosunmu,1610612741,CHI,5,17.2,1.6,5.2,0.308,0.6,2.6,0.231,0.2,0.2,1.0,0.8,1.8,2.6,2.2,0.2,0.0,0.6,4.0,4.8
2021-22,Playoffs,1627854,124,Bryn Forbes,1610612743,DEN,5,15.2,1.2,3.0,0.4,0.8,2.2,0.364,0.8,1.0,0.8,0.2,0.4,0.6,1.4,0.2,0.0,0.4,4.0,3.8
2021-22,Playoffs,1628984,124,Devonte' Graham,1610612740,NOP,6,10.0,1.0,3.0,0.333,0.8,2.3,0.357,1.2,1.3,0.875,0.3,1.2,1.5,0.7,0.2,0.2,0.7,4.0,3.7
2021-22,Playoffs,203210,124,JaMychal Green,1610612743,DEN,5,13.8,1.2,3.2,0.375,0.2,1.0,0.2,1.4,1.4,1.0,0.6,1.8,2.4,0.4,0.0,0.2,0.4,4.0,4.6
2021-22,Playoffs,1627884,128,Derrick Jones Jr.,1610612741,CHI,5,11.8,1.4,3.4,0.412,0.6,2.2,0.273,0.4,0.6,0.667,0.6,0.8,1.4,0.4,0.2,0.0,0.6,3.8,3.0
2021-22,Playoffs,201145,128,Jeff Green,1610612743,DEN,5,22.6,1.2,3.4,0.353,0.6,1.6,0.375,0.8,1.0,0.8,1.4,2.2,3.6,0.4,0.6,0.4,0.4,3.8,6.0
2021-22,Playoffs,203473,130,Dewayne Dedmon,1610612748,MIA,14,9.9,1.5,3.2,0.467,0.1,0.7,0.1,0.7,0.9,0.833,1.1,1.9,3.0,0.4,0.1,0.2,0.5,3.8,5.1
2021-22,Playoffs,203083,131,Andre Drummond,1610612751,BKN,4,15.0,1.5,2.8,0.545,0.0,0.0,0.0,0.8,1.3,0.6,0.8,2.3,3.0,0.8,1.3,0.8,1.5,3.8,6.3
2021-22,Playoffs,1630194,132,Paul Reed,1610612755,PHI,12,11.7,1.6,3.0,0.528,0.2,0.3,0.667,0.3,0.6,0.571,1.8,2.0,3.8,0.8,0.8,0.5,0.8,3.7,7.2
