MIN,FGM,FGA,FTM,FTA,EFF,TOV,AST,FG3A,FG3M,DREB
16.45,3.65,6.6,1.9,2.3,11.4,1.05,1.3,2.3,0.75,2.95
15.25,2.3,5.0,0.85,1.1,6.75,0.6,0.85,2.55,0.95,1.6
12.8,2.0,4.4,0.2,0.4,4.6,0.3,0.4,3.6,1.4,0.9
28.2,6.35,11.8,3.35,4.3,20.75,1.55,1.35,4.1,1.5,5.8
21.15,2.9,6.5,1.4,1.8,9.7,1.15,2.2,2.55,0.9,2.9
19.4,4.225,8.375,1.425,2.0,12.475,1.225,1.075,3.225,1.2,3.525
16.1,2.3,4.8,0.8,1.1,9.3,1.2,2.2,2.1,0.8,3.3
24.2,2.1,3.5,0.8,1.1,12.8,1.0,0.7,0.0,0.0,4.1
29.85,5.3,7.95,1.65,3.0,21.55,1.3,2.0,0.05,0.0,7.0
22.5,3.45,5.2,2.05,2.75,14.8,1.0,0.7,0.0,0.0,4.8
20.333,3.0,7.367,0.833,1.167,8.033,1.067,2.233,4.0,1.4,1.8
24.9,2.475,5.475,0.45,0.625,10.725,0.7,1.9,3.975,1.55,3.45
34.1,10.075,17.1,4.825,5.825,37.775,3.375,8.75,3.075,1.125,9.475
33.6,8.0,16.4,1.55,1.875,24.775,1.75,3.375,4.775,1.65,8.9
28.1,5.633,11.733,3.033,3.6,13.933,1.433,1.6,5.3,2.2,2.467
35.6,6.3,13.2,2.1,2.5,17.0,2.0,2.0,5.5,2.1,3.5
16.225,3.0,5.85,0.775,1.0,8.925,0.65,1.05,2.625,0.9,2.475
20.8,2.55,6.05,0.7,0.95,6.75,0.75,1.1,3.3,1.1,1.55
23.1,4.0,6.2,1.9,2.5,16.3,1.0,1.0,0.2,0.1,4.5
20.0,2.5,6.25,1.65,2.3,8.7,0.65,0.9,2.95,0.95,3.05
22.2,3.1,6.6,0.8,1.0,12.6,0.6,1.5,3.4,1.3,4.4
27.0,2.1,4.7,0.5,0.7,9.4,0.85,1.65,2.5,0.95,3.45
30.175,4.8,10.85,1.425,1.975,14.675,1.525,2.275,5.175,1.825,4.35
34.4,7.35,16.6,5.3,7.2,20.0,2.95,4.55,4.2,1.35,5.8
36.075,8.5,17.35,4.35,5.675,24.325,2.3,4.975,3.675,1.2,5.85
23.65,2.65,6.175,0.525,0.725,9.85,0.525,1.475,4.5,1.65,3.425
24.167,2.467,6.033,1.133,1.5,10.9,1.033,3.467,3.433,1.133,2.9
28.1,3.7,7.85,1.2,1.55,11.2,1.3,1.3,2.65,1.1,3.35
26.9,3.85,9.4,0.8,0.9,9.4,0.95,2.35,6.65,2.6,1.55
33.75,8.05,17.15,3.65,4.05,22.8,2.7,4.35,7.8,3.25,5.25
20.8,3.4,7.2,1.3,1.8,11.8,0.9,1.8,2.6,0.9,3.3
15.15,2.5,4.45,0.65,0.85,10.15,0.75,0.85,0.4,0.15,2.9
18.533,2.9,6.433,0.5,0.567,8.967,0.7,2.4,4.0,1.567,1.9
18.6,2.6,5.6,0.9,1.3,8.4,0.7,1.1,1.9,0.6,2.5
19.2,2.933,6.1,0.967,1.7,9.967,1.0,0.967,1.133,0.4,3.567
29.9,4.0,8.5,1.1,1.4,11.9,1.0,2.1,5.7,2.2,2.5
19.65,2.7,6.6,1.15,1.7,7.65,1.2,2.1,2.3,0.75,2.8
33.75,7.0,15.775,3.65,5.0,16.475,2.125,3.025,4.925,1.75,4.6
20.75,3.1,6.65,1.2,1.4,9.25,0.95,2.7,2.15,0.75,1.85
29.433,3.1,7.333,0.567,0.667,9.7,0.6,1.367,5.667,2.167,3.167
25.2,4.55,10.9,1.2,1.425,10.925,1.6,3.775,4.675,1.65,2.225
29.2,6.0,9.4,2.2,2.8,21.1,1.2,1.7,0.2,0.0,5.9
26.1,2.8,7.3,1.9,2.2,13.3,1.6,6.4,3.1,1.0,2.9
29.65,2.9,7.15,0.75,0.95,13.4,1.0,1.5,4.95,1.85,5.25
24.25,4.0,5.5,1.0,1.45,19.05,1.0,1.9,0.0,0.0,5.0
19.1,3.8,6.0,1.4,1.9,10.7,1.1,0.8,0.3,0.1,1.8
17.1,1.7,4.7,0.4,0.5,4.1,0.7,1.0,2.1,0.6,1.5
29.775,2.7,6.475,0.525,0.65,12.3,1.15,2.875,4.675,1.775,4.45
21.6,4.2,10.0,1.3,1.6,11.8,1.0,1.4,4.4,1.7,4.1
31.925,5.35,7.95,3.575,5.5,25.3,1.7,1.225,0.05,0.0,9.65
27.2,5.067,10.2,1.7,2.233,13.167,0.9,1.167,2.767,1.0,3.933
30.575,6.425,14.55,3.0,4.55,20.375,3.55,7.7,3.45,1.025,6.05
30.15,4.675,11.45,2.45,2.875,13.9,0.975,1.8,6.275,2.225,3.825
19.05,2.75,6.05,0.2,0.2,8.65,0.4,0.95,5.05,2.15,2.5
17.5,2.6,6.4,0.4,0.5,7.9,0.3,1.8,5.8,2.3,1.6
24.15,3.6,8.05,1.15,1.65,12.45,0.95,1.8,4.25,1.45,4.15
28.5,5.0,12.9,2.7,3.3,11.6,3.4,5.4,4.3,1.4,2.3
35.033,6.567,13.833,2.633,3.433,20.9,2.2,4.8,3.467,1.1,5.033
15.5,1.9,5.0,0.8,1.1,4.8,0.8,0.8,2.1,0.5,1.9
17.0,1.6,3.9,0.4,0.6,5.4,0.4,0.7,2.8,1.0,2.1
27.3,4.5,9.533,1.1,1.267,11.8,1.2,2.633,4.833,2.067,2.133
22.2,3.8,8.1,0.9,1.3,9.1,1.0,1.2,3.5,1.3,2.2
34.75,10.5,20.05,8.7,9.8,31.35,2.5,5.85,3.05,1.1,4.35
21.9,4.0,8.6,1.8,2.15,10.45,1.4,3.15,2.55,0.9,1.9
24.9,3.8,8.3,0.8,1.0,11.1,1.0,1.5,5.1,2.0,2.8
21.3,1.5,4.2,0.5,0.6,6.0,0.6,1.1,3.0,1.0,2.4
30.8,4.567,10.9,2.833,3.6,15.1,1.533,5.467,5.3,1.867,2.967
16.5,1.5,3.8,0.7,0.9,6.1,0.9,1.5,2.2,0.7,2.0
33.8,9.2,20.1,4.667,5.133,25.667,3.133,5.733,12.067,4.867,4.567
24.1,2.9,6.6,0.5,0.6,10.4,0.8,1.4,4.2,1.8,3.6
27.0,3.05,5.2,1.2,2.45,16.1,1.4,2.65,0.05,0.0,5.3
20.1,3.2,7.7,0.6,0.8,7.5,1.3,1.7,4.8,1.6,2.1
21.5,4.133,7.467,0.667,0.833,14.333,1.8,5.8,0.7,0.267,2.533
21.833,3.7,8.633,1.7,2.233,10.2,1.633,3.1,2.7,0.767,2.467
21.5,3.6,8.0,1.3,1.8,12.0,1.2,1.1,2.1,0.7,3.7
22.05,2.9,6.5,0.75,1.05,8.5,0.85,1.25,3.95,1.5,2.4
23.9,3.4,6.7,1.25,1.55,11.125,0.8,2.025,2.275,0.85,2.875
15.35,2.8,6.6,0.6,0.8,7.35,0.9,1.2,4.1,1.5,2.05
22.05,3.35,8.1,1.1,1.3,8.1,0.95,1.65,4.15,1.35,2.15
34.225,7.375,16.925,2.525,3.0,18.925,1.75,4.85,7.775,2.8,3.5
24.3,5.4,9.7,1.0,1.7,17.4,2.0,4.3,0.7,0.2,3.8
9.7,1.2,2.4,0.4,0.9,4.1,0.8,0.8,0.5,0.1,1.2
27.4,3.5,9.4,1.6,2.1,9.2,2.2,3.5,4.8,1.6,2.9
18.3,3.9,6.3,1.6,2.1,13.3,0.6,0.5,1.0,0.4,4.3
28.5,5.2,12.433,1.867,2.3,12.367,0.867,1.8,7.633,2.9,3.033
18.1,2.2,6.1,0.6,0.7,5.7,0.7,1.2,4.1,1.3,1.7
33.5,6.675,13.475,2.35,2.7,19.65,1.45,3.15,3.825,1.425,5.4
22.5,2.9,5.7,1.2,1.4,11.1,1.7,4.7,2.0,0.7,1.9
22.6,2.75,6.0,0.45,0.65,9.95,0.9,1.35,3.1,1.15,3.25
24.8,2.8,6.3,1.1,1.4,10.1,1.2,1.2,2.5,0.8,2.9
34.467,8.433,19.0,7.367,8.267,25.467,4.067,9.767,6.867,2.467,2.867
16.6,3.4,4.9,1.1,1.9,12.7,0.7,1.2,0.0,0.0,3.0
24.533,3.767,7.867,1.5,1.767,13.667,1.267,5.4,1.833,0.533,2.533
20.25,3.4,8.65,0.85,1.1,7.65,1.05,1.65,4.15,1.4,2.15
16.35,2.75,5.05,1.2,1.55,9.2,1.05,1.7,1.05,0.4,2.75
12.8,1.3,2.6,0.6,0.8,5.0,0.8,1.8,0.5,0.1,1.3
14.7,2.4,5.7,0.8,0.9,5.6,0.5,1.3,2.6,0.9,0.7
19.133,2.833,6.167,1.6,2.033,10.167,0.867,1.1,3.267,1.167,3.467
22.45,3.35,7.3,1.45,1.6,10.35,0.55,1.0,4.65,1.85,2.2
23.8,3.1,6.0,1.3,2.2,13.0,1.1,1.2,0.1,0.0,5.0
18.167,1.867,4.6,0.4,0.5,6.833,0.5,1.1,2.7,0.967,2.567
32.6,6.867,15.5,2.367,2.733,17.233,2.3,3.867,6.733,2.567,4.667
32.433,5.933,12.567,1.9,2.267,20.833,2.167,8.133,6.0,2.333,2.967
30.425,6.5,13.95,2.875,3.35,16.75,1.225,4.0,5.025,2.0,2.55
23.05,3.675,8.125,0.7,0.85,12.625,0.8,5.15,3.2,1.2,2.125
19.6,2.7,6.2,1.0,1.3,8.1,1.7,4.4,2.6,0.7,1.2
29.7,7.8,16.7,4.1,5.2,27.1,3.7,3.9,5.5,1.8,8.4
14.8,1.8,3.8,0.6,0.7,6.4,0.6,1.3,1.9,0.7,1.7
23.15,3.8,5.55,1.0,1.8,16.85,0.9,0.9,0.15,0.05,5.1
27.7,5.05,9.75,2.35,3.3,18.75,1.65,2.35,2.2,0.7,7.0
15.1,2.3,3.8,0.8,1.2,8.4,0.7,0.5,0.5,0.1,2.5
19.5,1.5,4.3,0.6,0.7,4.9,0.4,0.9,3.4,1.1,1.3
31.55,5.05,11.75,1.55,2.0,14.1,1.75,3.55,5.35,2.0,3.75
17.1,2.2,3.4,0.9,1.5,9.2,0.5,0.7,0.2,0.0,3.2
18.85,2.95,5.05,0.7,1.2,11.0,0.75,1.45,0.65,0.25,3.05
16.0,2.0,4.0,0.6,0.8,6.9,0.4,0.8,2.3,1.0,1.9
22.5,4.4,8.8,1.75,2.3,14.5,1.95,2.85,2.45,0.85,4.1
35.233,8.967,18.367,4.633,5.433,22.867,2.867,4.533,7.467,2.933,4.2
9.9,1.2,2.6,0.7,1.1,4.7,0.5,0.6,0.4,0.1,1.1
21.7,3.1,6.8,0.7,0.9,7.4,0.7,1.0,3.9,1.2,1.7
32.35,9.65,16.3,5.5,7.9,25.7,2.75,4.35,0.45,0.15,4.3
