MIN,FGM,FGA,FTM,FTA,EFF,TOV,AST,FG3A,FG3M,DREB
27.525,5.45,8.975,1.55,2.675,22.025,0.9,1.025,0.0,0.0,7.7
29.65,5.1,11.75,1.7,1.95,13.875,1.625,3.9,6.0,2.225,3.25
21.3,2.25,4.8,0.8,1.15,9.0,0.85,2.1,1.65,0.6,2.5
26.667,4.733,11.2,2.667,3.133,14.767,1.9,4.167,4.267,1.467,3.967
30.95,7.65,15.85,4.65,5.55,18.55,2.45,4.65,4.3,1.6,1.95
25.833,3.9,8.167,1.033,1.333,10.367,0.833,1.433,5.133,2.0,2.267
22.467,2.767,6.233,1.167,1.433,9.667,1.167,3.5,2.467,0.933,1.867
32.4,6.333,14.2,2.533,3.067,18.167,2.4,6.533,7.367,2.8,2.7
19.8,2.4,6.0,1.5,1.6,8.2,1.1,3.3,3.8,1.5,1.3
10.9,1.3,3.2,0.4,0.7,4.3,0.8,1.5,0.8,0.2,1.3
11.5,1.2,2.7,0.4,0.7,4.8,0.5,1.4,1.3,0.3,1.4
35.8,8.667,19.367,7.333,7.933,27.0,2.967,7.267,10.1,3.767,3.867
19.767,2.533,5.667,1.0,1.133,8.4,0.733,1.2,3.233,1.3,2.7
19.95,3.825,5.375,1.5,2.225,14.775,0.95,1.025,0.0,0.0,3.625
20.75,3.25,6.05,0.85,1.25,11.4,0.85,1.35,1.75,0.6,3.35
24.65,3.95,9.15,2.65,2.9,12.95,0.7,1.5,4.75,1.85,3.95
24.9,2.6,6.55,0.3,0.4,9.25,0.85,1.35,5.35,2.1,2.5
17.2,2.8,6.1,1.2,1.5,10.7,1.2,2.3,3.1,1.2,3.3
29.55,4.5,10.95,2.0,2.85,12.9,1.75,1.6,4.55,1.35,5.8
34.767,7.433,16.2,3.1,3.533,19.467,3.167,7.5,5.867,2.3,2.333
18.05,2.55,6.15,0.65,0.95,6.5,0.85,1.0,2.75,0.8,2.2
20.367,3.0,6.9,0.467,0.7,7.467,0.967,2.8,3.0,0.967,1.333
25.7,3.4,8.4,1.8,2.0,10.3,0.6,0.9,7.5,3.0,2.6
15.1,2.8,4.8,1.2,2.0,11.7,1.1,1.4,0.2,0.1,3.7
34.925,9.2,19.175,4.625,6.2,22.75,2.725,6.125,5.625,1.9,3.425
31.7,5.7,12.3,2.6,3.1,13.4,1.2,1.4,4.3,1.5,3.6
23.567,3.567,8.533,0.967,1.233,11.867,1.367,2.6,4.8,1.867,3.1
21.9,3.3,4.4,0.8,1.6,14.7,1.5,1.6,0.0,0.0,5.4
19.1,2.3,4.5,0.9,1.3,8.1,1.4,2.1,1.0,0.3,2.2
35.95,8.7,17.525,6.475,7.45,24.275,2.05,5.55,1.95,0.625,4.0
19.2,2.1,4.9,0.5,0.6,8.0,0.5,1.2,3.4,1.2,2.8
30.2,7.2,11.733,2.0,2.633,23.033,1.633,1.5,0.333,0.1,7.433
34.7,7.975,17.35,2.325,2.9,22.875,2.275,6.775,4.9,1.675,5.575
23.3,2.7,5.85,1.15,1.4,11.75,0.95,3.4,2.1,0.8,2.7
26.05,3.525,7.8,1.525,2.075,13.0,1.35,2.45,3.125,1.025,5.1
30.375,4.825,11.275,2.825,3.35,14.175,2.125,5.225,3.85,1.325,2.6
16.7,2.5,6.7,0.3,0.3,7.1,0.7,1.7,3.9,1.3,2.8
15.3,2.3,3.6,0.9,1.2,10.9,0.5,0.6,0.0,0.0,3.5
20.067,2.467,5.1,1.1,1.567,8.3,0.633,0.767,2.233,0.733,1.967
30.067,4.7,10.467,2.2,2.5,16.267,1.433,4.667,5.5,2.0,3.133
27.933,5.967,12.667,1.833,2.067,16.233,1.533,2.933,5.967,2.533,3.567
34.8,9.467,19.767,5.233,5.967,23.967,2.7,5.333,6.2,2.267,3.933
25.8,4.633,10.4,1.433,1.733,12.7,0.933,2.3,4.8,1.7,3.167
25.633,3.567,9.6,1.767,2.167,10.967,1.2,4.1,6.9,2.467,1.833
15.9,2.4,4.3,1.1,1.5,10.4,1.0,0.7,0.7,0.3,4.2
30.333,5.467,13.233,1.9,2.333,11.733,1.467,2.2,5.567,1.9,2.5
35.2,7.475,13.0,3.9,5.325,30.175,3.175,6.85,1.7,0.55,9.4
34.333,9.4,20.567,4.567,5.367,23.0,2.8,4.967,9.267,3.5,3.4
27.633,4.2,9.667,0.9,1.167,13.833,1.467,3.1,6.4,2.533,3.6
31.0,3.5,7.9,0.6,0.825,11.85,0.9,1.675,5.1,1.9,3.3
19.7,3.667,7.567,0.733,0.967,8.7,0.7,1.267,4.2,1.7,1.667
31.5,3.05,6.25,1.1,1.45,18.45,2.9,7.85,1.9,0.5,6.25
16.85,2.475,4.175,1.225,1.65,10.475,0.9,1.025,0.125,0.05,3.3
28.433,4.2,9.7,0.9,1.033,11.267,1.1,2.067,7.8,3.067,2.667
17.9,3.4,7.3,1.0,1.4,9.7,0.8,1.0,3.6,1.3,2.3
25.7,4.1,10.1,2.0,2.4,8.9,0.6,1.3,2.9,0.8,2.7
16.75,2.4,4.05,1.7,2.7,11.9,1.2,0.75,0.3,0.1,4.85
17.775,2.275,3.35,1.55,2.075,9.975,0.725,1.125,0.25,0.075,2.4
20.0,1.9,4.3,0.5,0.8,8.55,1.0,2.5,1.85,0.6,2.75
16.2,2.8,5.3,1.3,1.6,7.3,1.0,0.9,1.7,0.7,1.4
23.6,4.3,9.9,1.2,1.7,9.9,1.6,3.2,1.6,0.4,2.4
24.4,4.7,7.8,1.8,2.3,19.8,1.1,1.2,0.1,0.0,7.1
29.7,4.3,10.3,1.9,2.7,12.1,1.6,3.8,5.0,1.7,3.0
28.15,4.1,9.3,1.45,1.7,10.35,1.3,2.35,5.5,2.05,1.65
12.7,2.0,4.1,1.1,1.5,5.6,0.5,0.6,1.9,0.7,1.3
29.5,5.0,12.1,1.0,1.4,11.3,1.3,2.1,7.7,3.0,2.2
34.1,6.35,12.0,2.5,3.75,20.5,1.85,2.65,1.3,0.3,6.4
20.05,1.7,4.7,1.05,1.3,8.15,1.05,3.5,3.15,1.05,1.55
11.8,1.5,3.8,0.4,0.4,4.4,0.5,1.2,1.9,0.7,1.2
31.933,6.633,13.833,3.2,3.733,17.567,1.833,3.367,4.167,1.367,3.633
36.975,6.35,15.9,3.175,3.575,20.625,2.025,7.075,8.975,3.275,3.6
20.2,2.9,7.35,1.05,1.4,7.7,0.75,1.7,4.45,1.45,2.0
24.65,3.25,7.9,0.8,0.95,8.6,1.4,2.8,4.95,1.75,1.6
22.95,2.35,5.9,0.6,0.8,7.35,0.85,1.75,3.35,1.1,2.1
19.167,1.967,4.733,1.333,1.633,6.667,0.367,0.667,3.967,1.533,1.533
28.4,3.9,9.1,1.4,1.6,9.7,1.0,1.8,5.0,1.9,1.4
17.6,3.0,4.8,0.5,0.8,10.4,0.6,0.9,1.7,0.6,2.5
31.575,5.775,13.775,1.875,2.3,12.825,0.8,1.675,7.1,2.7,2.275
20.125,3.0,6.775,0.525,0.6,8.15,0.775,1.075,4.725,1.9,2.4
33.3,10.825,18.925,7.425,10.975,34.375,3.5,5.975,2.9,0.85,9.35
15.4,2.0,3.4,0.9,1.4,10.0,0.7,1.3,0.2,0.0,2.9
15.0,2.4,5.8,0.5,0.8,5.9,1.1,2.6,2.5,0.9,1.1
21.1,3.2,7.4,0.7,0.9,7.2,0.8,1.1,4.0,1.5,1.8
24.1,2.675,5.875,1.05,1.325,9.525,1.025,1.5,3.375,1.35,2.85
29.4,3.933,8.467,1.433,1.633,12.933,1.0,2.267,5.633,2.367,2.867
22.75,4.4,9.05,2.05,3.1,12.3,1.25,1.6,1.6,0.45,3.85
32.825,4.85,10.1,3.5,4.225,15.675,1.2,2.175,4.525,1.725,3.9
17.9,3.3,5.1,1.6,2.6,14.6,0.8,0.4,0.0,0.0,5.0
20.7,2.3,5.0,0.3,0.5,8.3,0.5,1.1,2.9,1.2,2.2
30.0,3.667,7.567,1.833,2.2,13.0,1.267,2.4,2.767,1.0,2.567
25.15,4.525,10.775,2.575,3.0,13.4,1.225,3.45,5.45,2.05,2.9
27.775,3.075,6.6,1.45,2.0,9.4,0.9,1.675,2.725,0.925,1.95
21.033,2.867,4.767,1.133,1.633,14.0,1.067,2.033,0.3,0.1,4.1
14.7,2.7,4.45,1.35,2.0,10.5,0.75,0.8,0.15,0.0,2.55
18.8,2.95,6.6,0.85,1.05,8.85,0.55,1.25,4.95,2.05,1.95
23.4,3.4,7.0,1.4,1.9,11.6,1.9,1.8,1.8,0.5,4.1
23.5,3.4,6.45,0.95,1.45,13.9,1.1,1.05,0.75,0.25,4.9
17.3,2.8,6.6,0.2,0.4,8.2,1.2,3.8,1.0,0.4,1.8
15.3,1.4,3.8,0.4,0.5,5.6,0.4,0.9,2.9,1.0,1.6
25.4,4.25,6.6,2.025,2.725,17.5,1.325,1.325,0.025,0.0,5.825
13.2,1.35,3.15,0.35,0.5,4.4,0.4,0.5,1.55,0.5,1.65
32.25,8.05,17.55,5.2,7.0,21.9,3.3,7.75,4.35,1.35,4.0
17.75,2.7,5.65,1.0,1.2,9.55,0.9,0.9,2.65,0.95,3.15
15.8,3.9,6.2,1.4,2.0,13.6,1.3,0.6,0.1,0.0,4.5
31.45,4.8,11.15,2.05,2.5,15.75,1.25,1.45,4.95,1.65,6.0
23.6,3.3,7.1,1.8,2.4,12.5,0.9,1.0,1.9,0.6,5.0
13.5,2.7,6.6,0.8,1.0,5.9,0.8,1.5,3.1,1.1,1.5
29.95,5.45,12.95,3.25,4.35,13.8,2.85,4.5,4.75,1.6,2.6
27.4,3.8,7.875,0.825,1.15,10.8,1.1,1.375,3.4,1.2,2.75
27.8,3.25,8.15,1.05,1.3,12.2,0.85,2.0,5.85,2.2,4.5
23.833,3.633,7.233,1.2,1.7,11.7,1.267,2.1,2.2,0.7,3.1
28.2,4.5,9.3,1.9,2.3,12.9,1.5,2.6,2.7,0.9,2.7
27.4,5.067,8.2,1.333,2.467,19.3,1.5,2.467,0.0,0.0,5.367
31.825,7.525,15.25,3.6,4.3,20.0,1.825,5.3,4.4,1.775,3.125
27.0,4.8,7.55,1.85,2.65,19.6,1.75,1.75,0.05,0.0,7.0
32.6,6.8,16.1,3.7,4.633,15.467,2.3,3.267,7.167,2.433,3.6
14.9,2.3,4.6,0.7,1.1,8.5,0.6,1.2,1.5,0.4,3.3
23.9,3.5,7.7,1.5,1.7,11.2,1.2,1.6,2.9,1.0,3.5
18.0,3.7,7.0,1.35,1.85,12.65,0.9,1.0,2.6,0.9,3.8
27.0,4.5,9.5,1.6,2.1,13.1,1.8,2.7,5.1,2.0,2.4
30.8,6.5,12.3,2.3,2.8,18.55,1.65,3.9,3.05,1.25,3.45
32.15,7.65,16.35,2.75,3.2,21.0,2.15,6.35,6.2,2.55,3.3
36.1,5.867,13.733,5.6,6.4,25.667,3.467,9.833,6.967,2.567,5.633
19.85,2.6,5.7,0.7,1.2,8.65,0.95,2.0,1.9,0.5,2.7
17.3,3.0,4.8,1.1,1.6,10.7,1.0,0.9,0.0,0.0,3.6
29.3,6.633,14.633,4.167,5.2,19.067,1.933,1.467,5.033,1.667,4.5
22.433,2.767,4.8,1.1,1.733,13.567,1.0,1.633,0.5,0.133,4.9
31.3,5.767,9.167,2.867,4.0,22.6,1.533,2.033,0.167,0.033,6.933
23.4,2.7,5.0,1.2,1.5,10.9,0.5,0.9,1.6,0.6,2.8
16.2,2.733,4.3,1.467,1.967,9.9,0.7,0.567,0.367,0.133,2.567
34.375,9.275,19.025,3.475,4.625,22.05,2.675,3.5,6.825,2.45,5.025
17.5,3.75,8.15,1.2,1.5,9.2,0.8,2.05,3.1,1.0,1.85
13.0,1.4,3.3,0.5,0.6,7.2,0.5,1.6,2.1,0.8,2.9
36.075,9.425,20.4,5.675,6.65,27.175,2.75,4.55,8.425,3.05,7.1
22.833,3.2,6.533,1.867,2.3,9.833,0.767,1.267,2.667,0.967,2.533
17.3,2.2,5.2,1.6,1.9,7.2,1.2,2.4,1.5,0.7,1.3
34.8,7.15,15.9,4.9,5.9,18.55,1.9,2.6,5.9,2.2,3.85
29.6,4.6,10.5,1.5,1.9,14.6,1.9,3.4,3.1,0.9,4.6
15.5,2.0,4.9,0.2,0.25,5.8,0.575,1.6,3.15,1.2,1.4
33.667,7.033,13.767,6.967,8.133,25.933,1.8,5.8,2.0,0.7,4.133
14.2,2.6,4.9,1.1,1.5,8.8,0.9,1.0,1.2,0.3,2.3
25.8,3.95,8.05,0.45,0.65,11.1,0.75,1.65,5.45,2.5,2.45
22.55,2.8,5.85,0.75,0.9,11.15,1.35,3.85,4.25,1.85,2.5
33.167,9.933,19.1,9.6,11.4,33.6,3.2,3.733,3.233,1.167,8.8
29.1,5.9,11.067,2.3,2.8,18.467,1.267,1.167,3.367,1.2,5.667
19.35,1.9,4.0,0.4,0.6,9.2,0.45,1.45,2.15,0.75,3.4
26.75,6.125,10.95,2.5,3.125,22.05,1.85,2.075,1.475,0.525,7.625
15.8,2.5,4.9,1.0,1.4,10.4,0.5,0.5,1.9,0.7,3.2
21.333,4.5,8.533,2.067,2.933,12.0,1.367,1.667,2.167,0.733,2.867
28.8,6.7,15.6,2.333,2.767,14.867,2.1,3.133,7.967,2.667,2.933
17.8,2.5,5.7,0.9,1.1,9.6,0.9,2.7,1.9,0.6,2.4
17.3,2.6,6.8,1.0,1.2,6.5,0.6,1.0,4.4,1.6,1.8
16.45,1.7,3.95,0.5,0.6,7.4,0.8,3.35,1.6,0.5,1.45
19.15,3.05,7.35,0.85,1.05,8.35,1.0,1.2,3.55,1.35,2.95
27.375,5.8,13.5,3.05,3.425,14.2,2.25,3.7,7.0,2.425,2.3
21.5,3.3,8.0,1.1,1.3,9.3,1.3,3.0,4.0,1.4,1.9
15.15,2.7,5.95,0.9,1.2,6.4,1.2,1.55,2.0,0.55,1.3
28.15,6.05,12.65,1.35,1.75,18.85,2.45,5.5,3.05,1.0,5.45
20.6,2.65,5.1,0.8,1.15,8.3,0.95,1.45,2.0,0.75,1.85
